Crop,Mandi,Price,Date
Wheat,Amalner,2600,06-06-2023
Wheat,Achalpur,2400,06-06-2023
Tomato,Kalmeshwar,1315,06-06-2023
Potato,Pune(Khadiki),1300,06-06-2023
Potato,Pune(Moshi),900,06-06-2023
Potato,Amrawati(Frui & Veg. Market),1150,06-06-2023
Onion,Jalgaon,680,06-06-2023
Potato,Vai,1850,06-06-2023
Wheat,Anajngaon,2200,06-06-2023
Tomato,Navapur,1056,06-06-2023
Onion,Khed(Chakan),900,06-06-2023
Tomato,Ramtek,1900,06-06-2023
Wheat,Beed,2564,06-06-2023
Tomato,Pune(Moshi),1250,06-06-2023
Tomato,Kamthi,1400,06-06-2023
Onion,Akola,800,06-06-2023
Potato,Jalgaon,1000,06-06-2023
Onion,Nandgaon,500,06-06-2023
Wheat,Aurad Shahajani,2426,06-06-2023
Onion,Chandvad,800,06-06-2023
Onion,Akole,951,06-06-2023
Potato,Islampur,1700,06-06-2023
Potato,"Sangli(Phale, Bhajipura Market)",1750,06-06-2023
Tomato,Pune,1100,06-06-2023
Wheat,Ahmedpur,2325,06-06-2023
Onion,Sinner,650,06-06-2023
Onion,Chandrapur(Ganjwad),1500,06-06-2023
Onion,Dindori,750,06-06-2023
Tomato,Pune(Manjri),1500,06-06-2023
Onion,Lasalgaon(Vinchur),875,06-06-2023
Onion,Dhule,600,06-06-2023
Onion,Pen,1200,06-06-2023
Tomato,Rahata,1000,06-06-2023
Potato,Solapur,1300,06-06-2023
Onion,Pune(Manjri),600,07-06-2023
Potato,Junnar(Otur),900,07-06-2023
Potato,Khed(Chakan),1500,07-06-2023
Onion,Amrawati(Frui & Veg. Market),800,07-06-2023
Potato,Kamthi,1800,07-06-2023
Onion,Shrigonda,900,07-06-2023
Onion,Parner,950,07-06-2023
Potato,Solapur,1000,07-06-2023
Onion,Chandrapur(Ganjwad),1500,07-06-2023
Onion,Nagpur,875,07-06-2023
Potato,Nagpur,1150,07-06-2023
Onion,Sinner,600,07-06-2023
Wheat,Manmad,2270,07-06-2023
Onion,Yeola,850,07-06-2023
Onion,Amba,1100,07-06-2023
Wheat,Karjat(Raigad),2300,07-06-2023
Wheat,Kaij,3100,07-06-2023
Potato,Jalgaon,1000,07-06-2023
Potato,Pune,1550,07-06-2023
Wheat,Sangli,3100,07-06-2023
Potato,Amba,1400,07-06-2023
Tomato,Ghoti,900,07-06-2023
Wheat,Solapur,2650,07-06-2023
Wheat,Nandgaon,2200,07-06-2023
Tomato,Solapur,1000,07-06-2023
Tomato,Jalgaon,1000,07-06-2023
Onion,Pimpalgaon Baswant(Saykheda),700,07-06-2023
Tomato,Kalmeshwar,1315,07-06-2023
Onion,Karjat(Raigad),500,07-06-2023
Wheat,Dondaicha,2527,07-06-2023
Onion,Pratap Nana Mahale Khajgi Bajar Samiti,483.29,07-06-2023
Wheat,Murtizapur,2315,07-06-2023
Wheat,Shahada,2393,07-06-2023
Potato,Pune(Manjri),1500,07-06-2023
Wheat,Pathardi,2100,07-06-2023
Wheat,Nagpur,2354,07-06-2023
Tomato,Pune,1100,07-06-2023
Tomato,Pune(Khadiki),950,07-06-2023
Wheat,Shrirampur,2200,07-06-2023
Wheat,Shrirampur(Belapur),2000,07-06-2023
Wheat,Nanded,2115,07-06-2023
Wheat,Palghar,2770,07-06-2023
Wheat,Lasalgaon(Vinchur),2265,07-06-2023
Tomato,Patan,900,07-06-2023
Wheat,Savner,2325,07-06-2023
Tomato,Sangamner,1062,07-06-2023
Onion,Karad,1400,07-06-2023
Wheat,Mumbai,3800,07-06-2023
Potato,Akola,1200,07-06-2023
Tomato,Mumbai,1200,07-06-2023
Potato,Nasik,1250,07-06-2023
Wheat,Tumsar,2240,07-06-2023
Wheat,Tasgaon,2640,07-06-2023
Wheat,Sindi(Selu),2300,07-06-2023
Onion,Pimpalgaon,1001,07-06-2023
Wheat,Yeola,2160,07-06-2023
Onion,Devala,800,07-06-2023
Onion,Akluj,500,07-06-2023
Tomato,Ramtek,1900,07-06-2023
Potato,Rahata,1500,07-06-2023
Onion,Shrirampur,650,07-06-2023
Wheat,Vasai,3460,07-06-2023
Wheat,Dharangaon,2311,07-06-2023
Onion,Kopargaon,750,07-06-2023
Tomato,Bhusaval,500,07-06-2023
Onion,Lasalgaon(Vinchur),950,07-06-2023
Onion,Lasalgaon,1000,07-06-2023
Onion,Vadgaonpeth,12,07-06-2023
Onion,Kolhapur,1000,07-06-2023
Wheat,Ulhasnagar,3250,07-06-2023
Tomato,Chandvad,850,07-06-2023
Tomato,Karad,1200,07-06-2023
Wheat,Lasalgaon,2341,07-06-2023
Wheat,Lasalgaon(Niphad),2280,07-06-2023
Tomato,Kamthi,1600,07-06-2023
Wheat,Raver,2185,07-06-2023
Wheat,Gangakhed,2300,07-06-2023
Tomato,Amrawati(Frui & Veg. Market),2100,07-06-2023
Tomato,Pune(Manjri),1400,07-06-2023
Wheat,Barshi(Vairag),2050,07-06-2023
Onion,Newasa(Ghodegaon),800,07-06-2023
Tomato,Rahata,1200,07-06-2023
Tomato,Ratnagiri (Nachane),150,07-06-2023
Wheat,Malegaon,2391,07-06-2023
Onion,Akola,800,07-06-2023
Wheat,Loha,2600,07-06-2023
Wheat,Majalgaon,3100,07-06-2023
Tomato,Hingna,1500,07-06-2023
Wheat,Kopargaon,2301,07-06-2023
Potato,Chandrapur(Ganjwad),1400,07-06-2023
Wheat,Chopada,2527,07-06-2023
Wheat,Parbhani,2700,07-06-2023
Onion,Baramati,700,07-06-2023
Wheat,Dhamngaon-Railway,2200,07-06-2023
Wheat,Nira(Saswad),3050,07-06-2023
Onion,Lasalgaon(Niphad),751,07-06-2023
Wheat,Amalner,2450,07-06-2023
Tomato,Panvel,1900,07-06-2023
Onion,Solapur,800,07-06-2023
Wheat,Gevrai,2350,07-06-2023
Tomato,Satara,1150,07-06-2023
Potato,Akluj,1500,07-06-2023
Potato,Vashi New Mumbai,1100,07-06-2023
Tomato,Vadgaonpeth,1000,07-06-2023
Wheat,Nagpur,3150,07-06-2023
Onion,Sangamner,850,07-06-2023
Wheat,Akola,2200,07-06-2023
Onion,Pune,950,07-06-2023
Wheat,Achalpur,2350,07-06-2023
Tomato,Junnar(Narayangaon),1000,07-06-2023
Wheat,Ahmednagar,2300,07-06-2023
Wheat,Amarawati,2525,07-06-2023
Onion,Khed(Chakan),900,07-06-2023
Wheat,Amarawati,2275,07-06-2023
Tomato,Chandrapur(Ganjwad),1200,07-06-2023
Tomato,Khed(Chakan),1400,07-06-2023
Onion,Dindori(Vani),851,07-06-2023
Wheat,Chandur Bazar,2500,07-06-2023
Potato,Rahuri,1650,07-06-2023
Wheat,Katol,2300,07-06-2023
Wheat,Ahmedpur,2500,07-06-2023
Tomato,Pimpalgaon,1100,07-06-2023
Onion,Manmad,750,07-06-2023
Tomato,Pune(Pimpri),1500,07-06-2023
Potato,Shrirampur,1300,07-06-2023
Tomato,Vai,1450,07-06-2023
Wheat,Rahuri,2200,07-06-2023
Onion,Pune(Pimpri),750,07-06-2023
Wheat,Hinganghat,2040,07-06-2023
Tomato,Navapur,1000,07-06-2023
Wheat,Pune,4600,07-06-2023
Potato,Pune(Khadiki),1250,07-06-2023
Wheat,Shevgaon,2050,07-06-2023
Tomato,Kolhapur,1500,07-06-2023
Wheat,Satana,2550,07-06-2023
Onion,Nasik,750,07-06-2023
Onion,Dindori,750,07-06-2023
Wheat,Shevgaon(Bodhegaon),2300,07-06-2023
Onion,Mangal Wedha,850,07-06-2023
Wheat,Nandurbar,2325,07-06-2023
Potato,"Sangli(Phale, Bhajipura Market)",1500,07-06-2023
Wheat,Shirpur,2350,07-06-2023
Onion,Satara,1000,07-06-2023
Wheat,Dhule,2200,07-06-2023
Onion,Satana,675,07-06-2023
Wheat,Karmala,2600,07-06-2023
Wheat,Wardha,2300,07-06-2023
Potato,Satara,1450,07-06-2023
Onion,Vashi New Mumbai,1150,07-06-2023
Tomato,Mangal Wedha,1100,07-06-2023
Onion,Bhusaval,600,07-06-2023
Tomato,Nagpur,3875,07-06-2023
Wheat,Barshi,2500,07-06-2023
Tomato,Shrirampur,1500,07-06-2023
Tomato,Phaltan,1067,07-06-2023
Potato,Amrawati(Frui & Veg. Market),1200,07-06-2023
Tomato,Nagpur,4350,07-06-2023
Onion,Kalvan,801,07-06-2023
Wheat,Rahuri(Vambori),2350,07-06-2023
Wheat,Kandhar,1800,07-06-2023
Onion,Chandvad,780,07-06-2023
Onion,Jalgaon,680,07-06-2023
Wheat,Rahata,2321,07-06-2023
Onion,Nagpur,1050,07-06-2023
Wheat,Rahata,2331,08-06-2023
Wheat,Pulgaon,2310,08-06-2023
Wheat,Savner,2350,08-06-2023
Wheat,Hinganghat,2000,08-06-2023
Onion,Kalvan,851,08-06-2023
Potato,Junnar,1000,08-06-2023
Wheat,Chopada,2500,08-06-2023
Onion,Lasalgaon(Niphad),700,08-06-2023
Onion,Rahuri(Vambori),600,08-06-2023
Onion,Satara,1000,08-06-2023
Onion,Junnar(Narayangaon),400,08-06-2023
Onion,Manchar,1250,08-06-2023
Onion,Pratap Nana Mahale Khajgi Bajar Samiti,423.68,08-06-2023
Wheat,Dound,2300,08-06-2023
Wheat,Ramtek,2301,08-06-2023
Wheat,Satana,2325,08-06-2023
Wheat,Rahuri,2150,08-06-2023
Wheat,Barshi,2700,08-06-2023
Wheat,Barshi(Vairag),2500,08-06-2023
Onion,Sinner,600,08-06-2023
Wheat,Nandgaon,2150,08-06-2023
Wheat,Morshi,2275,08-06-2023
Wheat,Mumbai,4400,08-06-2023
Onion,Ramtek,1900,08-06-2023
Potato,Pune(Manjri),1500,08-06-2023
Potato,Shrirampur,1400,08-06-2023
Onion,Nasik,800,08-06-2023
Wheat,Mangal Wedha,2900,08-06-2023
Onion,Dindori(Vani),850,08-06-2023
Wheat,Baramati,2200,08-06-2023
Onion,Nagpur,1050,08-06-2023
Wheat,Dondaicha,2451,08-06-2023
Onion,Lasalgaon,925,08-06-2023
Wheat,Nagpur,3150,08-06-2023
Wheat,Tadkalas,2000,08-06-2023
Onion,Devala,775,08-06-2023
Wheat,Dharangaon,2241,08-06-2023
Wheat,Shrirampur(Belapur),2000,08-06-2023
Wheat,Parola,2215,08-06-2023
Potato,Vashi New Mumbai,1150,08-06-2023
Onion,Pandharpur,900,08-06-2023
Wheat,Majalgaon,2400,08-06-2023
Wheat,Kaij,2050,08-06-2023
Onion,Jalgaon,700,08-06-2023
Wheat,Umared,2400,08-06-2023
Onion,Chandrapur(Ganjwad),1500,08-06-2023
Wheat,Beed,2517,08-06-2023
Wheat,Navapur,2062,08-06-2023
Potato,Junnar(Narayangaon),1700,08-06-2023
Wheat,Lasalgaon(Vinchur),2275,08-06-2023
Wheat,Sangli,3100,08-06-2023
Potato,Pune,1550,08-06-2023
Potato,Nasik,1200,08-06-2023
Onion,Pune(Pimpri),750,08-06-2023
Onion,Karjat(Raigad),500,08-06-2023
Wheat,Pune,4500,08-06-2023
Onion,Pune(Moshi),600,08-06-2023
Wheat,Nanded,2250,08-06-2023
Wheat,Shahada,2435,08-06-2023
Wheat,Amarawati,2525,08-06-2023
Wheat,Amarawati,2275,08-06-2023
Wheat,Gevrai,2424,08-06-2023
Onion,Solapur,700,08-06-2023
Onion,Shrirampur,650,08-06-2023
Onion,Pune(Manjri),600,08-06-2023
Onion,Rahata,750,08-06-2023
Wheat,Kurdwadi(Modnimb),2800,08-06-2023
Wheat,Ulhasnagar,3400,08-06-2023
Wheat,Akola,2250,08-06-2023
Wheat,Ahmednagar,2400,08-06-2023
Potato,Pen,1800,08-06-2023
Wheat,Baramati,2350,08-06-2023
Potato,Chandrapur(Ganjwad),1400,08-06-2023
Wheat,Dhule,2430,08-06-2023
Onion,Manmad,700,08-06-2023
Onion,Nagpur,875,08-06-2023
Onion,Sangamner,805,08-06-2023
Potato,Pune(Moshi),800,08-06-2023
Wheat,Ashti(Karanja),2175,08-06-2023
Potato,Khed(Chakan),1600,08-06-2023
Wheat,Wardha,2350,08-06-2023
Wheat,Nagpur,2368,08-06-2023
Wheat,Sindi(Selu),2350,08-06-2023
Wheat,Devala,2500,08-06-2023
Wheat,Shirpur,2275,08-06-2023
Onion,Lonand,900,08-06-2023
Potato,Solapur,1100,08-06-2023
Wheat,Bhandara,2000,08-06-2023
Onion,Shrigonda,600,08-06-2023
Potato,Bhusaval,2000,08-06-2023
Wheat,Tumsar,2230,08-06-2023
Onion,Kopargaon,775,08-06-2023
Onion,Vashi New Mumbai,1200,08-06-2023
Wheat,Manmad,2550,08-06-2023
Potato,Nagpur,1150,08-06-2023
Wheat,Dhamngaon-Railway,2200,08-06-2023
Potato,Islampur,1900,08-06-2023
Wheat,Amalner,2431,08-06-2023
Potato,"Sangli(Phale, Bhajipura Market)",1600,08-06-2023
Onion,Kolhapur,900,08-06-2023
Wheat,Katol,2260,08-06-2023
Onion,Kurdwadi(Modnimb),650,08-06-2023
Wheat,Jamkhed,2400,08-06-2023
Onion,Junnar,1000,08-06-2023
Potato,Rahata,1400,08-06-2023
Onion,Pune(Khadiki),800,08-06-2023
Onion,Pune,1050,08-06-2023
Onion,Khed(Chakan),1050,08-06-2023
Wheat,Hingoli,2610,08-06-2023
Potato,Ramtek,1500,08-06-2023
Wheat,Aurad Shahajani,2401,08-06-2023
Potato,Rahuri,1650,08-06-2023
Onion,Bhusaval,800,08-06-2023
Wheat,Jamkhed,2300,08-06-2023
Onion,Lasalgaon(Vinchur),800,08-06-2023
Wheat,Kalvan,2150,08-06-2023
Wheat,Raver,2295,08-06-2023
Wheat,Loha,2400,08-06-2023
Wheat,Karmala,2100,08-06-2023
Wheat,Ahmedpur,2200,08-06-2023
Wheat,Achalpur,2600,08-06-2023
Wheat,Chakur,2120,08-06-2023
Wheat,Ausa,2774,08-06-2023
Wheat,Malegaon,2395,08-06-2023
Onion,Mankamneshwar Farmar Producer CoLtd Sanchalit Mank,502.11,08-06-2023
Wheat,Kopargaon,2350,08-06-2023
Onion,Satana,715,08-06-2023
Wheat,Chandur Bazar,2500,08-06-2023
Wheat,Karjat(Raigad),2400,08-06-2023
Wheat,Lasalgaon,2551,08-06-2023
Wheat,Lasalgaon(Niphad),2311,08-06-2023
Tomato,Pimpalgaon,1100,08-06-2023
Tomato,Jalgaon,900,08-06-2023
Tomato,Kalmeshwar,805,08-06-2023
Tomato,Khed(Chakan),1400,08-06-2023
Tomato,Hingna,1700,08-06-2023
Tomato,Islampur,1350,08-06-2023
Tomato,Bhusaval,500,08-06-2023
Tomato,Phaltan,1258,08-06-2023
Tomato,Vadgaonpeth,1200,08-06-2023
Tomato,Pune,1100,08-06-2023
Tomato,Pune(Khadiki),1000,08-06-2023
Tomato,Kolhapur,1100,08-06-2023
Tomato,Karad,1300,08-06-2023
Tomato,Manchar,1700,08-06-2023
Tomato,Pune(Moshi),950,08-06-2023
Tomato,Panvel,1900,08-06-2023
Tomato,Satara,1000,08-06-2023
Tomato,Solapur,1400,08-06-2023
Tomato,Ramtek,1900,08-06-2023
Onion,Dindori,715,08-06-2023
Onion,Amba,1100,08-06-2023
Tomato,Sangamner,875,08-06-2023
Wheat,Yeola,2180,08-06-2023
Wheat,Solapur,2642,08-06-2023
Tomato,Amba,1200,08-06-2023
Potato,Kamthi,1600,08-06-2023
Onion,Dhule,700,08-06-2023
Onion,Akola,1000,08-06-2023
Tomato,Pune(Pimpri),1000,08-06-2023
Tomato,Ratnagiri (Nachane),140,08-06-2023
Potato,Jalgaon,1000,08-06-2023
Onion,Yeola,800,08-06-2023
Tomato,Nagpur,3125,08-06-2023
Wheat,Shrirampur,2300,08-06-2023
Wheat,Shevgaon(Bodhegaon),2400,08-06-2023
Tomato,Kamthi,1800,08-06-2023
Tomato,Pune(Manjri),1800,08-06-2023
Tomato,Chandrapur(Ganjwad),1200,08-06-2023
Tomato,Rahata,1100,08-06-2023
Wheat,Rahuri(Vambori),2105,08-06-2023
Tomato,Shrirampur,1250,08-06-2023
Wheat,Pathari,2300,08-06-2023
Potato,Akola,1200,08-06-2023
Tomato,Ghoti,950,08-06-2023
Tomato,Mangal Wedha,1600,08-06-2023
Tomato,Mumbai,1300,08-06-2023
Potato,Akluj,1400,08-06-2023
Onion,Pimpalgaon Baswant(Saykheda),700,08-06-2023
Onion,Chandvad,680,08-06-2023
Tomato,Junnar(Narayangaon),1200,08-06-2023
Onion,Pimpalgaon,901,08-06-2023
Wheat,Akola,2250,09-06-2023
Tomato,Bhusaval,1000,09-06-2023
Wheat,Kalvan,2251,09-06-2023
Wheat,Gevrai,2500,09-06-2023
Onion,Dindori(Vani),875,09-06-2023
Potato,Khed(Chakan),1500,09-06-2023
Wheat,Beed,2309,09-06-2023
Wheat,Aurad Shahajani,2525,09-06-2023
Onion,Kolhapur,1000,09-06-2023
Onion,Khed(Chakan),1000,09-06-2023
Onion,Lasalgaon,975,09-06-2023
Wheat,Tasgaon,2510,09-06-2023
Tomato,Islampur,1250,09-06-2023
Wheat,Jamkhed,2200,09-06-2023
Onion,Bhusaval,600,09-06-2023
Wheat,Solapur,2660,09-06-2023
Potato,Chandrapur(Ganjwad),1400,09-06-2023
Wheat,Amarawati,2275,09-06-2023
Onion,Kopargaon,750,09-06-2023
Onion,Jalgaon,700,09-06-2023
Tomato,Chandrapur(Ganjwad),1200,09-06-2023
Tomato,Pune(Pimpri),1000,09-06-2023
Wheat,Pulgaon,2220,09-06-2023
Wheat,Dhamngaon-Railway,2200,09-06-2023
Wheat,Devala,2260,09-06-2023
Tomato,Kamthi,1800,09-06-2023
Potato,Junnar(Narayangaon),1200,09-06-2023
Onion,Vashi New Mumbai,1100,09-06-2023
Wheat,Majalgaon,2800,09-06-2023
Wheat,Manmad,2268,09-06-2023
Onion,Pen,1200,09-06-2023
Tomato,Phaltan,1196,09-06-2023
Tomato,Pune(Moshi),1150,09-06-2023
Tomato,Pune(Khadiki),950,09-06-2023
Wheat,Nagpur,3150,09-06-2023
Wheat,Savner,2275,09-06-2023
Onion,Pratap Nana Mahale Khajgi Bajar Samiti,431.95,09-06-2023
Tomato,Panvel,1700,09-06-2023
Onion,Nasik,800,09-06-2023
Tomato,Jalgaon,1200,09-06-2023
Wheat,Lasalgaon,2351,09-06-2023
Tomato,Pimpalgaon,900,09-06-2023
Wheat,Murtizapur,2285,09-06-2023
Wheat,Bhokar,1951,09-06-2023
Wheat,Dondaicha,2408,09-06-2023
Onion,Rahuri,700,09-06-2023
Onion,Kamthi,1400,09-06-2023
Onion,Pathardi,800,09-06-2023
Wheat,Kaij,2711,09-06-2023
Onion,Vadgaonpeth,1000,09-06-2023
Tomato,Shrirampur,1500,09-06-2023
Wheat,Jamkhed,2300,09-06-2023
Tomato,Rahata,1100,09-06-2023
Onion,Junnar(Narayangaon),700,09-06-2023
Tomato,Mangal Wedha,1300,09-06-2023
Onion,Solapur,900,09-06-2023
Wheat,Hinganghat,2010,09-06-2023
Wheat,Shirpur,2311,09-06-2023
Onion,Pimpalgaon Baswant(Saykheda),680,09-06-2023
Onion,Mankamneshwar Farmar Producer CoLtd Sanchalit Mank,534.81,09-06-2023
Onion,Pune(Manjri),700,09-06-2023
Wheat,Barshi(Vairag),2100,09-06-2023
Onion,Pune(Moshi),500,09-06-2023
Wheat,Kopargaon,2300,09-06-2023
Wheat,Chakur,1834,09-06-2023
Wheat,Chopada,2501,09-06-2023
Tomato,Ghoti,900,09-06-2023
Onion,Pune(Pimpri),1000,09-06-2023
Potato,Islampur,1600,09-06-2023
Wheat,Shrirampur(Belapur),2000,09-06-2023
Wheat,Sindi(Selu),2250,09-06-2023
Wheat,Dhule,2350,09-06-2023
Tomato,Mumbai,1300,09-06-2023
Potato,Jalgaon,1000,09-06-2023
Wheat,Shevgaon(Bodhegaon),2200,09-06-2023
Potato,Pen,1600,09-06-2023
Potato,"Sangli(Phale, Bhajipura Market)",1650,09-06-2023
Tomato,Khed(Chakan),1500,09-06-2023
Tomato,Solapur,1000,09-06-2023
Wheat,Vasai,3350,09-06-2023
Potato,Shrirampur,1400,09-06-2023
Tomato,Vadgaonpeth,1000,09-06-2023
Wheat,Wardha,2250,09-06-2023
Tomato,Vai,1700,09-06-2023
Tomato,Amrawati(Frui & Veg. Market),2100,09-06-2023
Potato,Solapur,1360,09-06-2023
Onion,Devala,775,09-06-2023
Onion,Kalvan,751,09-06-2023
Potato,Pune(Moshi),950,09-06-2023
Onion,Parner,750,09-06-2023
Wheat,Nanded,2400,09-06-2023
Wheat,Nagpur,2328,09-06-2023
Tomato,Pune(Manjri),1400,09-06-2023
Wheat,Rahuri(Vambori),2075,09-06-2023
Wheat,Parola,2279,09-06-2023
Potato,Kamthi,1600,09-06-2023
Wheat,Rahata,2205,09-06-2023
Wheat,Pachora,2500,09-06-2023
Onion,Pimpalgaon,900,09-06-2023
Onion,Yeola,800,09-06-2023
Potato,Akluj,1400,09-06-2023
Tomato,Patan,800,09-06-2023
Onion,Sangamner,887,09-06-2023
Tomato,Kalmeshwar,1040,09-06-2023
Wheat,Sangamner,2243,09-06-2023
Wheat,Pune,4500,09-06-2023
Wheat,Shevgaon,2050,09-06-2023
Wheat,Patur,2144,09-06-2023
Onion,Pune(Khadiki),750,09-06-2023
Wheat,Parbhani,2700,09-06-2023
Wheat,Karjat(Raigad),2300,09-06-2023
Wheat,Ulhasnagar,3250,09-06-2023
Onion,Wardha,750,09-06-2023
Wheat,Nandurbar,2350,09-06-2023
Wheat,Kille Dharur,2840,09-06-2023
Onion,Junnar(Alephata),1100,09-06-2023
Wheat,Mumbai,4400,09-06-2023
Potato,Pune(Manjri),1400,09-06-2023
Onion,Akluj,800,09-06-2023
Tomato,Junnar(Narayangaon),1500,09-06-2023
Onion,Chandrapur(Ganjwad),1500,09-06-2023
Wheat,Shahada,2390,09-06-2023
Potato,Nasik,1250,09-06-2023
Wheat,Amarawati,2537,09-06-2023
Potato,Amba,1400,09-06-2023
Wheat,Ahmednagar,2425,09-06-2023
Onion,Chandvad,680,09-06-2023
Onion,Mangal Wedha,900,09-06-2023
Onion,Lasalgaon(Niphad),700,09-06-2023
Wheat,Achalpur,2500,09-06-2023
Wheat,Sangli,3250,09-06-2023
Tomato,Pen,2800,09-06-2023
Tomato,Sangamner,937,09-06-2023
Wheat,Barshi,2200,09-06-2023
Onion,Dhule,740,09-06-2023
Wheat,Ahmedpur,2650,09-06-2023
Wheat,Shrirampur,2200,09-06-2023
Onion,Manmad,800,09-06-2023
